memory_id,user_id,timestamp,memory_text,category,importance_score,emotional_score,keywords,embedding_vector,source,last_accessed,access_count,expiry_score,context_tags,linked_memories,sentiment,confidence_score
M0011,U210,2024-07-16 14:34:46,User practices coding daily,personal_info,4.8,6.4,"AI, learning, career","[0.8944, 0.2502, -0.7806, 0.8059, -0.4698]",image,2024-09-09 14:34:46,7,0.25,"technology, education","M0761, M0743",positive,0.68
M0012,U248,2025-09-30 14:34:46,User is building an AI memory engine,study,5.0,5.9,"AI, learning, career","[0.4368, -0.5305, -0.8516, -0.0791, 0.1936]",document,2025-11-15 14:34:46,10,0.22,"technology, education","M0710, M0546",neutral,0.93
M0013,U144,2026-04-14 14:34:46,User practices coding daily,habit,2.9,3.1,"AI, learning, career","[0.0166, -0.4084, 0.8655, 0.4241, -0.1285]",image,2026-04-29 14:34:46,2,0.76,"technology, education","M0406, M0611",negative,0.52
M0014,U150,2024-08-22 14:34:46,User enjoys studying machine learning,habit,9.7,9.5,"AI, learning, career","[-0.9814, 0.5524, 0.3474, -0.6882, -0.5236]",image,2024-10-06 14:34:46,2,0.04,"technology, education","M0468, M0462",neutral,0.72
M0015,U110,2025-07-07 14:34:46,User completed a cloud computing project,schedule,7.6,9.1,"AI, learning, career","[0.4769, 0.254, -0.5991, 0.9771, -0.3708]",voice,2025-08-01 14:34:46,8,0.68,"technology, education","M0697, M0268",positive,0.99
M0016,U225,2026-05-03 14:34:46,User practices coding daily,relationship,6.3,9.6,"AI, learning, career","[-0.1711, 0.7099, 0.4689, 0.3787, -0.6508]",document,2026-05-22 14:34:46,10,0.76,"technology, education","M0138, M0894",positive,0.8
M0017,U052,2024-11-10 14:34:46,User wants to become an AI engineer,event,1.6,1.8,"AI, learning, career","[0.4384, -0.0207, -0.8853, -0.4952, -0.9195]",document,2024-11-22 14:34:46,9,0.94,"technology, education","M0515, M0755",negative,0.69
M0018,U053,2025-01-09 14:34:46,User completed a cloud computing project,career_goal,5.0,2.2,"AI, learning, career","[0.0401, 0.6178, 0.2328, 0.7396, 0.1935]",chatbot,2025-04-04 14:34:46,18,0.53,"technology, education","M0204, M0365",neutral,0.69
M0019,U158,2024-09-17 14:34:46,User practices coding daily,emotion,4.8,5.1,"AI, learning, career","[0.1188, -0.5937, 0.521, -0.0507, -0.5544]",image,2024-10-30 14:34:46,2,0.72,"technology, education","M0529, M0514",neutral,0.78
M0020,U068,2025-09-08 14:34:46,User enjoys studying machine learning,event,2.0,7.3,"AI, learning, career","[0.6795, -0.0735, 0.5829, -0.9306, 0.4771]",chatbot,2025-10-10 14:34:46,19,0.6,"technology, education","M0483, M0286",neutral,0.7
M0021,U199,2024-10-22 14:34:46,User wants to become an AI engineer,schedule,9.2,6.7,"AI, learning, career","[-0.9303, -0.2222, -0.7959, 0.9272, 0.6894]",chatbot,2025-02-01 14:34:46,4,0.74,"technology, education","M0840, M0743",negative,0.66
M0022,U058,2025-08-06 14:34:46,User enjoys studying machine learning,skill,4.2,6.3,"AI, learning, career","[-0.2682, 0.6136, -0.251, -0.9347, 0.232]",image,2025-09-15 14:34:46,10,0.56,"technology, education","M0740, M0530",neutral,0.85
M0023,U157,2025-02-22 14:34:46,User practices coding daily,personal_info,3.0,5.6,"AI, learning, career","[0.8942, -0.4145, -0.0656, -0.4022, -0.7018]",chatbot,2025-06-02 14:34:46,6,0.12,"technology, education","M0034, M0531",neutral,0.8
M0024,U007,2025-09-20 14:34:46,User wants to become an AI engineer,skill,1.8,4.7,"AI, learning, career","[-0.6509, 0.3719, -0.219, 0.2345, -0.7496]",voice,2025-11-16 14:34:46,6,0.57,"technology, education","M0975, M0404",negative,0.9
M0025,U071,2025-07-24 14:34:46,User enjoys studying machine learning,relationship,9.8,9.6,"AI, learning, career","[0.1093, -0.9954, -0.7187, -0.8907, -0.3389]",document,2025-07-29 14:34:46,17,0.9,"technology, education","M0025, M0369",negative,0.67
M0026,U123,2025-07-01 14:34:46,User is building an AI memory engine,skill,2.8,1.5,"AI, learning, career","[-0.9169, 0.497, -0.2072, -0.5277, 0.3979]",chatbot,2025-07-04 14:34:46,19,0.58,"technology, education","M0463, M0853",positive,0.69
M0027,U233,2025-09-17 14:34:46,User completed a cloud computing project,habit,3.6,6.7,"AI, learning, career","[0.4754, -0.1557, -0.0522, -0.7938, 0.8147]",voice,2025-10-10 14:34:46,6,0.9,"technology, education","M0960, M0164",neutral,0.76
M0028,U085,2025-04-03 14:34:46,User completed a cloud computing project,skill,4.7,4.6,"AI, learning, career","[-0.0474, 0.5166, 0.8745, -0.5301, -0.6863]",document,2025-04-09 14:34:46,1,0.35,"technology, education","M0503, M0693",positive,0.85
M0029,U216,2025-10-24 14:34:46,User is building an AI memory engine,study,6.9,5.0,"AI, learning, career","[0.7432, 0.0082, 0.2881, -0.3805, 0.4538]",document,2026-01-30 14:34:46,19,0.82,"technology, education","M0288, M0361",positive,0.85
M0030,U027,2025-09-12 14:34:46,User completed a cloud computing project,skill,2.9,1.4,"AI, learning, career","[0.3079, 0.4889, -0.7508, 0.0248, 0.0534]",voice,2025-09-22 14:34:46,8,0.7,"technology, education","M0855, M0137",neutral,0.68
M0031,U114,2025-01-28 14:34:46,User wants to become an AI engineer,project,4.5,7.2,"AI, learning, career","[-0.9338, -0.9468, 0.0316, -0.6749, 0.1471]",chatbot,2025-04-03 14:34:46,7,0.46,"technology, education","M0540, M0462",negative,0.7
M0032,U158,2024-06-20 14:34:46,User wants to become an AI engineer,project,4.6,1.8,"AI, learning, career","[0.8041, 0.1672, -0.432, -0.3667, 0.0785]",voice,2024-10-03 14:34:46,11,0.34,"technology, education","M0955, M0898",positive,0.88
M0033,U013,2025-12-06 14:34:46,User enjoys studying machine learning,relationship,6.7,1.3,"AI, learning, career","[-0.6534, -0.5053, 0.9296, 0.6007, 0.6196]",voice,2025-12-21 14:34:46,11,0.09,"technology, education","M0527, M0211",negative,0.9
M0034,U174,2026-01-15 14:34:46,User enjoys studying machine learning,schedule,2.1,1.8,"AI, learning, career","[-0.776, -0.248, -0.1964, -0.7743, -0.9287]",chatbot,2026-03-19 14:34:46,10,0.47,"technology, education","M0206, M0596",negative,0.76
M0035,U107,2025-08-17 14:34:46,User wants to become an AI engineer,schedule,5.1,3.4,"AI, learning, career","[-0.838, -0.8409, 0.5956, -0.6732, -0.2842]",document,2025-11-04 14:34:46,17,0.23,"technology, education","M0073, M0323",neutral,0.53
M0036,U073,2025-05-31 14:34:46,User is building an AI memory engine,habit,1.6,1.3,"AI, learning, career","[-0.4504, -0.8144, -0.4352, 0.9619, 0.163]",chatbot,2025-07-17 14:34:46,18,0.59,"technology, education","M0010, M0009",neutral,0.54
M0037,U207,2024-07-19 14:34:46,User is building an AI memory engine,project,3.3,6.5,"AI, learning, career","[-0.9902, -0.3276, -0.6337, 0.8915, 0.1542]",chatbot,2024-11-16 14:34:46,2,0.61,"technology, education","M0138, M0915",positive,0.61
M0038,U109,2025-03-05 14:34:46,User completed a cloud computing project,study,1.1,4.9,"AI, learning, career","[-0.0308, -0.9053, -0.3411, -0.912, -0.5943]",image,2025-05-13 14:34:46,12,0.97,"technology, education","M0479, M0826",negative,0.73
M0039,U206,2026-02-08 14:34:46,User wants to become an AI engineer,schedule,2.9,6.5,"AI, learning, career","[0.983, -0.9742, -0.5317, 0.7539, -0.6368]",voice,2026-05-18 14:34:46,7,0.96,"technology, education","M0831, M0258",neutral,0.83
M0040,U221,2025-10-07 14:34:46,User enjoys studying machine learning,career_goal,6.2,8.8,"AI, learning, career","[0.2804, -0.0244, -0.3626, 0.4787, -0.4321]",voice,2025-12-11 14:34:46,18,0.35,"technology, education","M0125, M0481",negative,0.83
M0041,U078,2025-09-22 14:34:46,User practices coding daily,project,1.3,2.6,"AI, learning, career","[0.293, 0.0289, -0.6764, -0.1152, 0.3094]",chatbot,2025-12-28 14:34:46,15,0.54,"technology, education","M0674, M0964",neutral,0.87
M0042,U074,2025-01-18 14:34:46,User wants to become an AI engineer,emotion,1.1,2.0,"AI, learning, career","[0.9787, 0.3557, -0.874, -0.9426, -0.4912]",document,2025-04-07 14:34:46,8,0.04,"technology, education","M0754, M0472",positive,0.85
M0043,U127,2024-10-08 14:34:46,User is building an AI memory engine,emotion,9.0,8.1,"AI, learning, career","[0.1248, -0.1277, -0.8229, 0.9708, -0.5192]",chatbot,2024-11-21 14:34:46,2,0.4,"technology, education","M0139, M0094",negative,0.53
M0044,U164,2026-05-12 14:34:46,User enjoys studying machine learning,study,5.7,8.6,"AI, learning, career","[-0.3564, 0.9673, 0.3107, 0.3376, -0.3551]",image,2026-09-09 14:34:46,1,0.79,"technology, education","M0283, M0271",negative,0.89
M0045,U110,2025-08-02 14:34:46,User completed a cloud computing project,skill,3.5,8.5,"AI, learning, career","[-0.7007, -0.5067, -0.186, -0.1903, -0.8431]",document,2025-09-05 14:34:46,13,0.81,"technology, education","M0003, M0144",positive,0.78
M0046,U169,2024-12-29 14:34:46,User practices coding daily,relationship,6.7,6.1,"AI, learning, career","[-0.6903, 0.2189, 0.891, 0.2999, -0.6424]",chatbot,2025-01-11 14:34:46,2,0.3,"technology, education","M0796, M0990",neutral,0.5
M0047,U192,2025-07-06 14:34:46,User completed a cloud computing project,habit,9.6,1.8,"AI, learning, career","[-0.6831, -0.7983, -0.55, -0.2831, 0.2688]",chatbot,2025-08-27 14:34:46,5,0.5,"technology, education","M0774, M0076",neutral,0.79
M0048,U171,2025-10-19 14:34:46,User practices coding daily,personal_info,9.5,5.0,"AI, learning, career","[0.8603, -0.7924, -0.0838, -0.3296, -0.4938]",document,2025-12-24 14:34:46,16,0.49,"technology, education","M0636, M0616",negative,0.93
M0049,U125,2024-09-06 14:34:46,User is building an AI memory engine,skill,9.4,4.2,"AI, learning, career","[-0.3757, 0.5226, -0.1174, -0.2357, 0.6517]",document,2024-10-15 14:34:46,6,0.1,"technology, education","M0525, M0965",positive,0.61
M0050,U167,2024-10-21 14:34:46,User is building an AI memory engine,study,8.1,6.6,"AI, learning, career","[-0.4859, 0.1776, 0.6369, -0.8723, 0.7074]",chatbot,2025-02-17 14:34:46,11,0.35,"technology, education","M0397, M0011",neutral,0.98
M0051,U199,2026-02-07 14:34:46,User wants to become an AI engineer,skill,7.3,1.5,"AI, learning, career","[0.05, -0.1065, 0.1992, 0.5547, 0.8495]",voice,2026-04-02 14:34:46,0,0.38,"technology, education","M0881, M0024",negative,0.77
M0052,U141,2026-05-12 14:34:46,User completed a cloud computing project,relationship,9.8,5.4,"AI, learning, career","[-0.4616, 0.6938, -0.8055, -0.0435, 0.286]",document,2026-06-29 14:34:46,2,0.17,"technology, education","M0863, M0627",positive,0.94
M0053,U020,2026-02-01 14:34:46,User enjoys studying machine learning,schedule,8.5,5.0,"AI, learning, career","[-0.2455, -0.5302, -0.3223, -0.1304, 0.3939]",voice,2026-05-31 14:34:46,5,0.02,"technology, education","M0378, M0914",neutral,0.75
M0054,U217,2026-03-17 14:34:46,User wants to become an AI engineer,skill,2.7,6.1,"AI, learning, career","[0.5271, -0.8712, -0.5392, 0.7388, 0.9303]",chatbot,2026-05-31 14:34:46,14,0.86,"technology, education","M0470, M0968",neutral,0.85
M0055,U109,2024-12-04 14:34:46,User wants to become an AI engineer,relationship,9.8,8.1,"AI, learning, career","[0.6569, 0.0506, 0.0793, 0.5423, 0.8439]",chatbot,2025-03-07 14:34:46,11,0.36,"technology, education","M0909, M0760",neutral,0.58
M0056,U137,2025-02-10 14:34:46,User is building an AI memory engine,career_goal,2.2,6.6,"AI, learning, career","[-0.3863, 0.6745, -0.4563, -0.1131, -0.7376]",image,2025-04-29 14:34:46,3,0.18,"technology, education","M0700, M0979",positive,0.71
M0057,U128,2025-07-05 14:34:46,User enjoys studying machine learning,career_goal,1.7,7.8,"AI, learning, career","[0.0904, -0.3316, 0.4298, 0.7457, -0.7805]",image,2025-10-27 14:34:46,0,0.24,"technology, education","M0307, M0383",positive,0.92
M0058,U034,2025-09-23 14:34:46,User is building an AI memory engine,skill,9.0,9.7,"AI, learning, career","[-0.5405, 0.3559, -0.8158, -0.9045, -0.8736]",image,2025-11-24 14:34:46,11,0.65,"technology, education","M0453, M0723",negative,0.96
M0059,U167,2024-11-08 14:34:46,User enjoys studying machine learning,habit,9.7,5.7,"AI, learning, career","[-0.7456, -0.7274, -0.8971, -0.714, -0.3573]",document,2025-02-27 14:34:46,17,0.86,"technology, education","M0894, M0312",neutral,0.79
M0060,U077,2026-04-23 14:34:46,User completed a cloud computing project,event,6.0,8.8,"AI, learning, career","[-0.8034, -0.1308, 0.1824, 0.8446, -0.1756]",image,2026-05-21 14:34:46,6,0.16,"technology, education","M0977, M0419",positive,0.83
M0061,U096,2024-08-17 14:34:46,User is building an AI memory engine,relationship,5.0,6.4,"AI, learning, career","[0.9824, 0.1372, -0.5389, 0.5153, -0.0278]",document,2024-08-27 14:34:46,10,0.4,"technology, education","M0414, M0644",negative,0.54
M0062,U234,2026-05-10 14:34:46,User is building an AI memory engine,personal_info,6.5,2.8,"AI, learning, career","[-0.6814, -0.3585, -0.7811, -0.785, -0.3334]",document,2026-06-24 14:34:46,16,0.14,"technology, education","M0453, M0998",neutral,0.72
M0063,U059,2024-07-28 14:34:46,User completed a cloud computing project,career_goal,2.5,7.5,"AI, learning, career","[-0.55, 0.3906, 0.1752, -0.142, -0.0253]",voice,2024-09-04 14:34:46,19,0.24,"technology, education","M0928, M0998",positive,0.98
M0064,U096,2024-08-21 14:34:46,User practices coding daily,project,7.8,8.3,"AI, learning, career","[-0.5423, -0.8699, 0.5311, 0.3598, 0.44]",image,2024-11-28 14:34:46,20,0.69,"technology, education","M0461, M0785",positive,0.9
M0065,U058,2024-09-21 14:34:46,User completed a cloud computing project,personal_info,3.5,5.4,"AI, learning, career","[-0.023, 0.3589, 0.5699, -0.8426, 0.7814]",image,2024-10-22 14:34:46,5,0.1,"technology, education","M0753, M0777",negative,0.94
M0066,U188,2025-11-25 14:34:46,User is building an AI memory engine,relationship,2.7,6.0,"AI, learning, career","[0.4779, 0.8734, 0.4719, -0.3332, 0.786]",image,2026-02-06 14:34:46,16,0.18,"technology, education","M0895, M0787",negative,0.7
M0067,U211,2024-12-31 14:34:46,User enjoys studying machine learning,project,6.7,1.8,"AI, learning, career","[0.6634, -0.1085, 0.724, -0.8642, 0.7564]",image,2025-04-05 14:34:46,1,0.81,"technology, education","M0639, M0974",positive,0.92
M0068,U223,2024-08-01 14:34:46,User practices coding daily,emotion,7.7,3.0,"AI, learning, career","[0.2483, -0.0246, 0.4627, 0.9543, -0.7491]",image,2024-09-03 14:34:46,13,0.91,"technology, education","M0798, M0144",negative,0.99
M0069,U016,2026-04-05 14:34:46,User enjoys studying machine learning,habit,3.5,7.4,"AI, learning, career","[0.627, -0.6456, -0.9303, 0.1549, -0.9919]",voice,2026-07-21 14:34:46,4,0.8,"technology, education","M0243, M0423",positive,0.67
M0070,U197,2026-02-24 14:34:46,User wants to become an AI engineer,project,6.5,4.7,"AI, learning, career","[-0.0421, 0.2578, 0.9927, 0.7181, -0.056]",voice,2026-03-03 14:34:46,10,0.29,"technology, education","M0836, M0149",positive,0.65
M0071,U037,2024-12-14 14:34:46,User completed a cloud computing project,relationship,5.6,8.6,"AI, learning, career","[0.545, -0.9126, 0.2669, -0.542, 0.2671]",document,2025-04-07 14:34:46,7,0.47,"technology, education","M0668, M0938",negative,0.56
M0072,U106,2025-12-11 14:34:46,User enjoys studying machine learning,skill,5.3,8.7,"AI, learning, career","[-0.595, 0.2476, -0.7164, 0.826, 0.1632]",image,2025-12-29 14:34:46,7,0.22,"technology, education","M0434, M0865",negative,0.89
M0073,U018,2025-06-08 14:34:46,User completed a cloud computing project,skill,8.5,3.3,"AI, learning, career","[-0.4054, -0.6939, 0.8701, -0.7095, 0.7142]",voice,2025-10-02 14:34:46,3,0.99,"technology, education","M0415, M0292",negative,0.55
M0074,U226,2026-03-19 14:34:46,User completed a cloud computing project,emotion,4.6,1.2,"AI, learning, career","[0.9132, 0.7392, 0.8367, -0.8606, -0.7476]",chatbot,2026-05-27 14:34:46,17,0.94,"technology, education","M0975, M0996",negative,0.61
M0075,U169,2026-01-31 14:34:46,User completed a cloud computing project,personal_info,7.0,7.6,"AI, learning, career","[0.7117, -0.1398, 0.3735, -0.1783, -0.951]",image,2026-04-21 14:34:46,18,0.45,"technology, education","M0669, M0195",positive,0.66
M0076,U225,2026-04-05 14:34:46,User practices coding daily,skill,9.2,7.8,"AI, learning, career","[0.4584, 0.9546, 0.3866, -0.3905, 0.6621]",voice,2026-06-13 14:34:46,14,0.15,"technology, education","M0386, M0401",positive,0.95
M0077,U113,2024-11-13 14:34:46,User is building an AI memory engine,emotion,1.5,9.5,"AI, learning, career","[0.4477, -0.1681, -0.4129, -0.0127, 0.3091]",image,2025-01-22 14:34:46,15,0.59,"technology, education","M0575, M0948",neutral,0.56
M0078,U172,2025-06-06 14:34:46,User completed a cloud computing project,personal_info,1.1,2.1,"AI, learning, career","[0.1219, 0.6021, 0.9553, 0.9974, 0.3115]",image,2025-06-08 14:34:46,15,0.61,"technology, education","M0988, M0924",neutral,0.65
M0079,U057,2026-03-08 14:34:46,User wants to become an AI engineer,skill,6.2,5.9,"AI, learning, career","[0.8978, 0.6573, 0.8498, 0.9709, -0.2807]",image,2026-05-05 14:34:46,6,0.38,"technology, education","M0189, M0897",positive,0.68
M0080,U247,2024-08-26 14:34:46,User wants to become an AI engineer,schedule,2.4,5.7,"AI, learning, career","[-0.8811, -0.1554, 0.4832, -0.2621, -0.3789]",voice,2024-09-28 14:34:46,13,0.24,"technology, education","M0763, M0142",negative,0.88
M0081,U051,2026-05-06 14:34:46,User practices coding daily,schedule,8.6,1.3,"AI, learning, career","[0.6893, -0.508, -0.2858, 0.5637, -0.8186]",document,2026-07-17 14:34:46,10,0.67,"technology, education","M0827, M0989",positive,0.75
M0082,U039,2024-11-26 14:34:46,User practices coding daily,relationship,3.0,5.2,"AI, learning, career","[0.8511, 0.3927, 0.2779, -0.8181, -0.572]",image,2025-03-18 14:34:46,1,0.45,"technology, education","M0672, M0571",neutral,0.57
M0083,U127,2025-08-30 14:34:46,User practices coding daily,emotion,3.7,9.2,"AI, learning, career","[0.6905, -0.1356, 0.8189, 0.6983, -0.805]",document,2025-10-12 14:34:46,14,0.3,"technology, education","M0790, M0939",negative,0.6
M0084,U068,2024-12-11 14:34:46,User is building an AI memory engine,project,3.2,1.3,"AI, learning, career","[0.2463, -0.0166, -0.1765, 0.055, -0.0285]",voice,2025-02-05 14:34:46,3,0.4,"technology, education","M0682, M0408",negative,0.93
M0085,U133,2025-01-03 14:34:46,User wants to become an AI engineer,project,1.9,8.6,"AI, learning, career","[-0.7215, -0.9052, -0.8367, -0.7536, 0.3338]",chatbot,2025-03-12 14:34:46,6,0.1,"technology, education","M0597, M0252",neutral,0.52
M0086,U184,2025-12-13 14:34:46,User wants to become an AI engineer,relationship,10.0,5.4,"AI, learning, career","[0.13, -0.4988, -0.954, -0.525, 0.013]",image,2026-02-11 14:34:46,16,0.09,"technology, education","M0748, M0190",negative,0.7
M0087,U232,2025-12-20 14:34:46,User enjoys studying machine learning,schedule,2.7,4.6,"AI, learning, career","[-0.9684, 0.2699, -0.6748, -0.4262, -0.0458]",document,2026-01-09 14:34:46,2,0.24,"technology, education","M0012, M0094",positive,0.63
M0088,U227,2025-05-11 14:34:46,User wants to become an AI engineer,schedule,2.6,8.2,"AI, learning, career","[-0.9652, 0.7026, 0.7835, 0.1123, -0.5999]",document,2025-07-08 14:34:46,1,0.87,"technology, education","M0863, M0454",neutral,0.81
M0089,U003,2024-08-15 14:34:46,User completed a cloud computing project,study,1.2,9.5,"AI, learning, career","[0.8458, -0.2542, -0.0352, 0.1103, -0.2758]",chatbot,2024-10-22 14:34:46,3,0.67,"technology, education","M0153, M0795",positive,0.97
M0090,U148,2025-02-23 14:34:46,User wants to become an AI engineer,career_goal,3.3,6.0,"AI, learning, career","[-0.9097, -0.0852, 0.6872, -0.7893, -0.5628]",voice,2025-03-17 14:34:46,11,0.73,"technology, education","M0623, M0348",negative,0.8
M0091,U156,2025-04-06 14:34:46,User completed a cloud computing project,project,9.5,10.0,"AI, learning, career","[0.6919, -0.8921, 0.0948, -0.2706, -0.9485]",chatbot,2025-06-22 14:34:46,18,0.14,"technology, education","M0048, M0151",neutral,0.99
M0092,U098,2025-09-04 14:34:46,User enjoys studying machine learning,schedule,9.3,5.9,"AI, learning, career","[-0.1504, -0.4771, 0.8872, 0.4978, 0.486]",voice,2025-12-13 14:34:46,15,0.73,"technology, education","M0649, M0823",negative,0.53
M0093,U194,2025-09-02 14:34:46,User completed a cloud computing project,relationship,2.6,9.7,"AI, learning, career","[-0.8559, -0.5956, -0.3314, 0.1583, 0.2991]",voice,2025-10-18 14:34:46,9,0.85,"technology, education","M0265, M0085",positive,0.78
M0094,U134,2024-11-15 14:34:46,User completed a cloud computing project,skill,8.8,5.1,"AI, learning, career","[-0.7871, -0.7019, -0.3148, -0.7035, 0.1535]",chatbot,2025-01-29 14:34:46,19,0.64,"technology, education","M0609, M0256",negative,0.67
M0095,U170,2025-03-01 14:34:46,User wants to become an AI engineer,personal_info,6.0,9.6,"AI, learning, career","[0.8569, -0.2533, 0.0738, -0.5194, 0.2451]",voice,2025-04-18 14:34:46,6,0.88,"technology, education","M0808, M0589",negative,0.72
M0096,U226,2025-12-18 14:34:46,User enjoys studying machine learning,skill,6.4,9.9,"AI, learning, career","[0.5798, 0.2623, 0.4547, 0.6639, 0.341]",image,2026-04-05 14:34:46,13,0.37,"technology, education","M0865, M0545",negative,0.7
M0097,U218,2024-07-10 14:34:46,User wants to become an AI engineer,career_goal,8.8,5.4,"AI, learning, career","[-0.5708, -0.2362, 0.2715, 0.8266, 0.9306]",document,2024-11-07 14:34:46,1,0.83,"technology, education","M0238, M0093",positive,0.53
M0098,U155,2025-12-05 14:34:46,User practices coding daily,emotion,6.1,8.4,"AI, learning, career","[0.579, 0.7063, 0.3621, 0.0871, 0.8449]",voice,2025-12-23 14:34:46,3,0.32,"technology, education","M0699, M0473",negative,0.72
M0099,U193,2025-05-31 14:34:46,User enjoys studying machine learning,personal_info,4.1,2.7,"AI, learning, career","[0.4198, 0.5163, -0.4022, 0.2838, -0.1292]",document,2025-09-13 14:34:46,2,0.32,"technology, education","M0927, M0747",negative,0.64
M0100,U006,2025-06-08 14:34:46,User is building an AI memory engine,study,6.6,7.6,"AI, learning, career","[-0.4659, 0.854, 0.4147, -0.1188, -0.1214]",chatbot,2025-07-12 14:34:46,1,0.07,"technology, education","M0731, M0064",positive,0.92
M0101,U192,2025-06-09 14:34:46,User practices coding daily,project,9.0,1.2,"AI, learning, career","[-0.0869, 0.5602, 0.3213, -0.4892, 0.8643]",image,2025-08-07 14:34:46,6,0.31,"technology, education","M0102, M0786",negative,0.8
M0102,U229,2024-11-04 14:34:46,User enjoys studying machine learning,habit,1.2,1.6,"AI, learning, career","[-0.7951, 0.4787, 0.4568, -0.6141, -0.3922]",voice,2024-11-06 14:34:46,18,0.06,"technology, education","M0678, M0570",positive,0.63
M0103,U187,2024-10-07 14:34:46,User is building an AI memory engine,skill,1.1,1.2,"AI, learning, career","[0.6808, -0.8894, 0.6513, 0.3201, 0.3158]",image,2024-12-17 14:34:46,16,0.2,"technology, education","M0960, M0553",positive,0.58
M0104,U244,2025-04-15 14:34:46,User is building an AI memory engine,schedule,9.5,3.9,"AI, learning, career","[-0.312, 0.1655, -0.3475, -0.09, 0.1589]",voice,2025-06-09 14:34:46,1,0.63,"technology, education","M0470, M0495",neutral,0.83
M0105,U155,2024-07-12 14:34:46,User is building an AI memory engine,schedule,6.3,4.1,"AI, learning, career","[-0.6966, 0.5936, -0.9917, 0.5781, 0.4939]",document,2024-10-04 14:34:46,3,0.31,"technology, education","M0016, M0285",negative,0.87
M0106,U166,2025-04-20 14:34:46,User wants to become an AI engineer,habit,8.1,8.9,"AI, learning, career","[-0.3939, 0.1862, 0.3512, 0.3179, -0.2656]",voice,2025-05-27 14:34:46,14,0.07,"technology, education","M0140, M0038",negative,0.87
M0107,U068,2026-03-16 14:34:46,User is building an AI memory engine,schedule,3.1,7.0,"AI, learning, career","[0.5572, 0.7183, -0.9975, 0.6537, 0.5787]",voice,2026-03-19 14:34:46,9,0.09,"technology, education","M0988, M0302",positive,0.53
M0108,U202,2025-09-25 14:34:46,User is building an AI memory engine,project,7.8,3.6,"AI, learning, career","[0.5707, -0.7705, 0.8059, 0.0772, -0.9208]",document,2025-10-02 14:34:46,3,0.72,"technology, education","M0481, M0662",negative,0.8
M0109,U057,2024-07-13 14:34:46,User practices coding daily,relationship,3.1,9.7,"AI, learning, career","[-0.3734, -0.2881, 0.5657, 0.2341, -0.0058]",document,2024-08-16 14:34:46,9,0.15,"technology, education","M0087, M0778",negative,0.57
M0110,U127,2025-04-07 14:34:46,User enjoys studying machine learning,skill,6.4,8.6,"AI, learning, career","[0.9464, -0.8991, 0.8432, -0.0683, -0.9422]",document,2025-05-29 14:34:46,3,0.95,"technology, education","M0374, M0371",positive,0.51
